epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,entropy,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
285,0.6583269233741458,0.6314484126984127,0.6180334394904459,0.7300955414012739,0.5694444444444444,0.5696656050955414,0.6031050955414012,2.2218,3.71875,3.53125,0.33930284862096005,0.33921300110896,0.9055438816635064,0.001585,3,128,0.05,4,64,7,10,0.14
264,0.6217636257883102,0.6587301587301587,0.6572452229299363,0.924562101910828,0.6626984126984127,0.6327627388535032,0.8541003184713376,2.1582,2.375,2.1875,0.33168,0.33149,0.8930658217919651,0.001585,2,128,0.05,4,256,5,10,0.2
225,0.3683692320944771,0.8700396825396826,0.8757961783439491,0.9996019108280255,0.875,0.8692277070063694,0.9876592356687898,2.932,2.9375,2.9375,0.12920900390624995,0.12920900390624995,0.5310764803564689,0.000251,4,32,0.05,8,32,5,10,0.05
53,0.6510519593481033,0.6364087301587301,0.6343550955414012,0.8164808917197452,0.6691468253968254,0.6138535031847133,0.7643312101910829,2.131,2.625,2.625,0.35088,0.35088,0.9092553049332448,0.000631,1,64,0.05,4,256,5,10,0.2
120,0.6122581121467409,0.689484126984127,0.6817277070063694,0.8003582802547771,0.7723214285714286,0.6397292993630573,0.7671178343949044,2.118,2.875,2.125,0.31008123084800004,0.305425442624,0.8416605063201734,0.000398,2,64,0.05,4,256,6,10,0.16
372,0.6310955106265961,0.6785714285714286,0.666202229299363,0.7760748407643312,0.6736111111111112,0.6546576433121019,0.7565684713375797,2.266,3.609375,3.609375,0.26428108593749994,0.26428108593749994,0.8106251878913024,0.000398,1,16,0.05,2,128,7,10,0.1
185,0.3613250172800488,0.8953373015873016,0.8891321656050956,0.9996019108280255,0.8948412698412699,0.8891321656050956,1.0,2.362,2.375,2.375,0.10587101562499995,0.10587101562499995,0.464403371801712,0.000158,3,16,0.05,4,64,5,10,0.05
211,0.4488972860669333,0.8343253968253969,0.8232484076433121,0.9996019108280255,0.8348214285714286,0.8204617834394905,0.9950238853503185,2.9382,2.9375,2.9375,0.17464232296875004,0.17464232296875004,0.6613217933221369,0.000398,2,128,0.05,2,32,5,10,0.07
116,0.5310201961842794,0.7628968253968254,0.7679140127388535,0.9635748407643312,0.783234126984127,0.727906050955414,0.9078423566878981,2.7336,2.875,2.875,0.2274569999999999,0.2274569999999999,0.7545239152578631,0.000631,3,128,0.05,4,128,6,10,0.1
367,0.3137934443259996,0.8953373015873016,0.887937898089172,0.9958200636942676,0.8978174603174603,0.8803742038216561,0.98328025477707,2.5574,2.5625,2.5625,0.11223898242187491,0.11223898242187491,0.4674435141441311,0.000251,2,64,0.05,2,64,6,10,0.05
258,0.6032587341845982,0.6924603174603174,0.6855095541401274,0.8937101910828026,0.7301587301587301,0.6518710191082803,0.8562898089171974,2.5264,2.875,2.5,0.31501249331200004,0.31269249651200004,0.8716749797241086,0.000158,2,128,0.05,8,32,6,10,0.16
111,0.5707378392181699,0.720734126984127,0.70421974522293,0.8425557324840764,0.783234126984127,0.6504777070063694,0.7836385350318471,1.682,2.25,1.9375,0.298923613725,0.29466744186250005,0.8390659060510659,0.001,2,32,0.05,4,128,5,10,0.19
57,0.4573462210477345,0.8194444444444444,0.8212579617834395,0.9066480891719745,0.722718253968254,0.7080015923566879,0.7531847133757962,1.952,2.5,2.5,0.11312585937499997,0.11312585937499997,0.4979897476360282,0.003,1,128,0.05,4,128,5,10,0.05
277,0.6514067299782283,0.6200396825396826,0.6019108280254777,0.696656050955414,0.5967261904761905,0.5794187898089171,0.6480891719745223,2.064,3.546875,3.046875,0.3684988227119708,0.3658155726097789,0.9321306705123025,0.001585,3,128,0.05,8,256,7,10,0.17
50,0.6099994149472978,0.6884920634920635,0.6701831210191083,0.7422372611464968,0.7648809523809523,0.6248009554140127,0.7418391719745223,1.2748,2.9375,1.6875,0.3205386155812501,0.31845624310625004,0.8562552405767638,0.001585,4,16,0.05,8,32,5,10,0.17
400,0.6287535741215661,0.6805555555555556,0.6580414012738853,0.8688296178343949,0.6805555555555556,0.6580414012738853,0.8688296178343949,1.8108,2.5625,2.25,0.32981389744375,0.3294516543375,0.8843408092683722,0.001585,2,128,0.05,2,256,5,10,0.19
319,0.6349722274712154,0.6592261904761905,0.6299761146496815,0.7314888535031847,0.6666666666666666,0.6267914012738853,0.7183519108280255,2.2046,3.0625,2.5625,0.32772345139200004,0.32546865734400005,0.888012493486845,0.000158,1,32,0.05,4,128,6,10,0.16
83,0.6704945781874279,0.5902777777777778,0.5877786624203821,0.6301751592356688,0.6170634920634921,0.575437898089172,0.6210191082802548,1.352,3.359375,3.015625,0.3539133875702696,0.35151376876508833,0.9147526614372952,0.000631,1,64,0.05,2,32,7,10,0.17
258,0.6879869718400259,0.5515873015873016,0.5481687898089171,0.5527468152866242,0.5481150793650794,0.535031847133758,0.5543391719745223,1.5456,3.734375,3.421875,0.40080167196884986,0.3996467485829436,0.9596915192467659,0.005,2,64,0.05,4,32,7,10,0.19
27,0.3925564218135107,0.8908730158730159,0.883359872611465,1.0,0.9067460317460317,0.8385748407643312,0.9321257961783439,2.5296,2.5,2.5,0.11336484374999994,0.11336484374999994,0.5037073491051922,0.000631,4,64,0.05,8,128,5,10,0.05
384,0.6230916437648591,0.6428571428571429,0.6443073248407644,0.7157643312101911,0.6557539682539683,0.6323646496815286,0.7080015923566879,1.45,3.3125,2.75,0.320001708984375,0.3182655908203125,0.8676461541033582,0.001585,1,128,0.05,8,64,6,10,0.15
166,0.5238996294755784,0.7782738095238095,0.75,0.9564092356687898,0.8005952380952381,0.7209394904458599,0.9114251592356688,2.0142,2.0625,2.0625,0.23311827140000002,0.23311827140000002,0.7594657055083749,0.000398,3,16,0.05,8,64,5,10,0.14
292,0.6796720529359485,0.5505952380952381,0.5507563694267515,0.5652866242038217,0.5634920634920635,0.5388136942675159,0.5654856687898089,1.5062,3.6875,2.953125,0.4066272,0.4034279,0.9619842684746454,0.001,1,128,0.05,2,64,7,10,0.2
357,0.6643701205177913,0.6116071428571429,0.5991242038216561,0.71875,0.5942460317460317,0.5774283439490446,0.6401273885350318,1.4872,3.1875,2.5625,0.38658000000000003,0.3836,0.9504615804545216,0.005,4,64,0.05,8,256,5,10,0.2
92,0.5485937628481123,0.7628968253968254,0.740047770700637,0.9613853503184714,0.7996031746031746,0.6853105095541401,0.8527070063694268,3.1914,3.375,3.375,0.255221375,0.255221375,0.8049884281073547,0.001,3,64,0.05,4,64,6,10,0.1
63,0.5436869244726877,0.7678571428571429,0.7772691082802548,0.9996019108280255,0.7891865079365079,0.7543789808917197,0.9496417197452229,2.7998,2.8125,2.8125,0.2278743749999999,0.2278743749999999,0.7598221414195336,0.000631,3,64,0.05,4,32,5,10,0.1
260,0.579677534008783,0.7033730158730159,0.6731687898089171,0.8968949044585988,0.7380952380952381,0.6570461783439491,0.8296178343949044,2.6372,2.625,2.625,0.31150809945,0.31150809945,0.8666725289895565,0.000158,3,64,0.05,8,256,6,10,0.17
185,0.671856335231236,0.5962301587301587,0.5593152866242038,0.60828025477707,0.6041666666666666,0.5547372611464968,0.603702229299363,1.4752,3.71875,2.4375,0.4052172,0.3942732,0.9557636972665033,0.000251,1,64,0.05,4,32,7,10,0.2
137,0.42157009220312514,0.8526785714285714,0.8284235668789809,0.9822850318471338,0.8854166666666666,0.7535828025477707,0.8807722929936306,3.6808,3.71875,3.71875,0.1589375006835937,0.1589375006835937,0.6126274346316176,0.000251,2,128,0.05,8,64,7,10,0.05
216,0.647169878558507,0.652281746031746,0.6142515923566879,0.7705015923566879,0.6736111111111112,0.5871815286624203,0.7472133757961783,2.6068,3.3125,2.9375,0.369272681118,0.366776317154,0.9346755911783795,0.001585,1,16,0.05,4,64,6,10,0.18
386,0.5299673894095043,0.7594246031746031,0.6902866242038217,0.8821656050955414,0.7678571428571429,0.6898885350318471,0.8929140127388535,3.5736,3.75,3.75,0.27560549375,0.27560549375,0.8320780159979151,0.000158,4,128,0.05,4,32,7,10,0.1
75,0.353848620657883,0.8779761904761905,0.8909235668789809,0.9986066878980892,0.8958333333333334,0.8548964968152867,0.9476512738853503,2.4956,2.5,2.5,0.11249464648437502,0.11249464648437502,0.484759228724732,0.001585,4,16,0.05,8,64,6,10,0.05
394,0.39693368829431985,0.8630952380952381,0.8461385350318471,0.9904458598726115,0.8635912698412699,0.8445461783439491,0.9896496815286624,3.2632,3.3125,3.3125,0.14320952094726558,0.14320952094726558,0.5708240447607791,0.000251,2,64,0.05,2,64,7,10,0.05
90,0.6307035348718129,0.6845238095238095,0.6586385350318471,0.75,0.6532738095238095,0.6325636942675159,0.6831210191082803,1.3432,3.1875,3.0,0.300043362528,0.29998749671200003,0.8441605341426284,0.003,3,64,0.05,2,256,6,10,0.14
399,0.5076695056188674,0.7926587301587301,0.7740843949044586,0.9556130573248408,0.7802579365079365,0.7549761146496815,0.9181926751592356,3.6342,3.6875,3.6875,0.20729806063551381,0.20729806063551381,0.7253142178308734,0.000158,3,64,0.05,4,32,7,10,0.07
272,0.584692761065468,0.7103174603174603,0.6240047770700637,0.794984076433121,0.7589285714285714,0.6013136942675159,0.7420382165605095,3.4486,3.53125,3.53125,0.32918099546696,0.32918099546696,0.8966074547535925,0.000398,4,64,0.05,4,128,7,10,0.14
