epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
68,0.3870718658916534,0.8819444444444444,0.8714171974522293,1.0,0.8829365079365079,0.8674363057324841,0.9950238853503185,3.0722,3.0625,3.0625,0.13528568554687498,0.13528568554687498,0.001585,4,32,0.1,8,256,6,10,0.05
194,0.5048461230028243,0.7708333333333334,0.7292993630573248,0.9249601910828026,0.7807539682539683,0.7109872611464968,0.8945063694267515,3.0946,3.0625,3.0625,0.24036121874999994,0.24036121874999994,0.000398,2,128,0.05,4,64,6,10,0.1
111,0.6334011223581102,0.6800595238095238,0.7036226114649682,0.7302945859872612,0.6800595238095238,0.7036226114649682,0.7302945859872612,0.5108,2.9375,2.9375,0.17182168941875003,0.17182168941875003,0.001585,1,128,0.05,2,256,5,10,0.07
300,0.5342404790340908,0.8055555555555556,0.7914012738853503,0.9613853503184714,0.8055555555555556,0.7914012738853503,0.9613853503184714,3.0566,3.0625,3.0625,0.18140783827971874,0.18140783827971874,0.0001,2,64,0.1,8,64,6,10,0.07
283,0.47663216742258224,0.8035714285714286,0.7754777070063694,0.947452229299363,0.8035714285714286,0.7685111464968153,0.9363057324840764,3.3566,3.5,3.5,0.19952798405901379,0.19952798405901379,0.000631,1,128,0.05,8,256,7,10,0.07
20,0.3039249931536024,0.9260912698412699,0.9227707006369427,1.0,0.9270833333333334,0.9225716560509554,1.0,2.502,2.5,2.5,0.07094101732500002,0.07094101732500002,0.005,3,16,0.1,4,256,5,10,0.03
226,0.5246966277796125,0.75,0.7464171974522293,0.947452229299363,0.7554563492063492,0.7296974522292994,0.919187898089172,2.6338,3.0625,3.0625,0.23438971874999992,0.23438971874999992,0.000251,2,128,0.05,2,32,6,10,0.1
68,0.6900631085274711,0.5600198412698413,0.5621019108280255,0.5776273885350318,0.5565476190476191,0.5567277070063694,0.5682722929936306,1.081,3.25,3.25,0.18894802130050004,0.18894802130050004,0.01,4,128,0.1,8,256,6,10,0.07
161,0.3175346792217285,0.9255952380952381,0.9315286624203821,1.0,0.9260912698412699,0.9305334394904459,0.9988057324840764,2.587,2.5625,2.5625,0.0721841283937501,0.0721841283937501,0.008,2,64,0.05,4,64,5,10,0.03
100,0.3748657587501738,0.8665674603174603,0.8525079617834395,1.0,0.8660714285714286,0.8495222929936306,0.9940286624203821,2.5366,2.5625,2.5625,0.14909094811887502,0.14909094811887502,0.003,3,16,0.1,4,32,6,10,0.07
40,0.4427913564538199,0.839781746031746,0.8513136942675159,0.9992038216560509,0.8422619047619048,0.847531847133758,0.9940286624203821,2.4836,2.5,2.5,0.15269373000000008,0.15269373000000008,0.005,3,16,0.1,8,32,5,10,0.07
116,0.5935530109064919,0.7127976190476191,0.7099920382165605,0.7921974522292994,0.6845238095238095,0.6711783439490446,0.691281847133758,1.28,2.25,2.25,0.2418182256,0.2418182256,0.01,3,64,0.1,2,128,5,10,0.14
208,0.5650731694130671,0.7341269841269841,0.7275079617834395,0.9713375796178344,0.7311507936507936,0.7062101910828026,0.9014729299363057,2.5904,2.5,2.5,0.26516406560000005,0.26516406560000005,0.001585,2,32,0.05,2,32,5,10,0.14
292,0.5874957598391033,0.7142857142857143,0.7056130573248408,0.7541799363057324,0.7212301587301587,0.6992436305732485,0.7446257961783439,1.686,2.625,2.625,0.15747446907500007,0.15747446907500007,0.008,2,64,0.1,4,256,5,10,0.07
257,0.6430303123262193,0.6567460317460317,0.6504777070063694,0.7169585987261147,0.6567460317460317,0.6504777070063694,0.7169585987261147,1.0168,2.75,2.5625,0.277968906432,0.277457173624,0.0001,1,64,0.2,4,128,6,10,0.14
218,0.30807180637641557,0.9255952380952381,0.9297372611464968,1.0,0.9255952380952381,0.9297372611464968,1.0,2.5576,2.5625,2.5625,0.07219683054375003,0.07219683054375003,0.005,4,128,0.2,8,128,5,10,0.03
94,0.543066954801953,0.7306547619047619,0.746218152866242,0.8214570063694268,0.7361111111111112,0.7191480891719745,0.8053343949044586,1.5344,2.75,2.75,0.16426438945000005,0.16426438945000005,0.001,1,128,0.2,4,64,5,10,0.07
239,0.44755538399257355,0.8110119047619048,0.8069267515923567,0.9122213375796179,0.7777777777777778,0.7703025477707006,0.8443471337579618,1.9982,2.25,2.25,0.13804527642499997,0.13804527642499997,0.005,3,32,0.05,2,32,5,10,0.07
1,1.0275415276724196,0.5322420634920635,0.5250796178343949,0.5250796178343949,0.5322420634920635,0.5250796178343949,0.5250796178343949,0.0,2.1875,2.1875,0.2417571114,0.2417571114,0.008,4,128,0.2,8,256,5,10,0.14
238,0.58854483612,0.7614087301587301,0.7436305732484076,0.8330015923566879,0.6845238095238095,0.6560509554140127,0.6944665605095541,1.948,2.8125,2.8125,0.16801134940625,0.16801134940625,0.008,1,64,0.2,4,64,6,10,0.07
70,0.4079511882293792,0.8521825396825397,0.8722133757961783,1.0,0.8571428571428571,0.8588773885350318,0.9791003184713376,2.2402,2.25,2.25,0.13850086250000004,0.13850086250000004,0.000398,3,64,0.1,2,32,5,10,0.07
273,0.33424497372101225,0.9122023809523809,0.9056528662420382,1.0,0.9122023809523809,0.9056528662420382,1.0,2.0722,2.0625,2.0625,0.09557462890624996,0.09557462890624996,0.0001,3,64,0.2,4,128,5,10,0.05
6,0.7020492326645624,0.5461309523809523,0.5626990445859873,0.5626990445859873,0.5461309523809523,0.5626990445859873,0.5626990445859873,0.0,3.0625,3.0625,0.1359882421875,0.1359882421875,0.005,3,128,0.1,2,128,6,10,0.05
198,0.6260626519483233,0.6830357142857143,0.6749601910828026,0.902468152866242,0.6860119047619048,0.6743630573248408,0.9026671974522293,2.407,3.1875,3.1875,0.31356541860000003,0.31356541860000003,0.003,3,32,0.2,4,256,5,10,0.14
299,0.6055670962447212,0.691468253968254,0.6976512738853503,0.808718152866242,0.6919642857142857,0.6962579617834395,0.8067277070063694,2.2494,2.9375,2.9375,0.23314937499999994,0.23314937499999994,0.0001,2,32,0.1,2,128,5,10,0.1
38,0.4503788600365321,0.871031746031746,0.8730095541401274,1.0,0.873015873015873,0.870421974522293,0.995421974522293,2.7986,2.8125,2.8125,0.12662478515624997,0.12662478515624997,0.003,2,16,0.2,8,64,5,10,0.05
20,0.3395378461905888,0.910218253968254,0.9010748407643312,1.0,0.910218253968254,0.9010748407643312,1.0,2.1206,2.125,2.125,0.09816335937499993,0.09816335937499993,0.003,2,16,0.1,4,128,5,10,0.05
266,0.648938294440981,0.6383928571428571,0.6208200636942676,0.6648089171974523,0.6359126984126984,0.6180334394904459,0.6685907643312102,1.4398,3.125,3.125,0.24267546874999996,0.24267546874999996,0.0001,3,64,0.2,2,256,6,10,0.1
297,0.5516305669905648,0.7921626984126984,0.7740843949044586,0.9177945859872612,0.783234126984127,0.7605493630573248,0.8958996815286624,2.9174,3.25,3.25,0.1898858865174688,0.1898858865174688,0.0001,3,64,0.1,2,128,6,10,0.07
224,0.5441833479063851,0.7757936507936508,0.7736863057324841,0.9988057324840764,0.7787698412698413,0.7707006369426752,0.9910429936305732,2.8822,2.875,2.875,0.22748999999999997,0.22748999999999997,0.000251,2,64,0.2,2,32,5,10,0.1
110,0.4027400224927872,0.8670634920634921,0.8572850318471338,1.0,0.871031746031746,0.8431528662420382,0.9830812101910829,3.1424,3.125,3.125,0.13779964062499994,0.13779964062499994,0.000631,2,32,0.05,8,128,6,10,0.05
262,0.49687529177892775,0.7981150793650794,0.7890127388535032,0.8544984076433121,0.7876984126984127,0.7760748407643312,0.839171974522293,2.1598,2.5,2.5,0.11249464648437502,0.11249464648437502,0.000631,1,32,0.1,2,64,6,10,0.05
178,0.5411656867890131,0.7862103174603174,0.7882165605095541,0.82703025477707,0.7891865079365079,0.7770700636942676,0.8198646496815286,1.6178,2.875,2.875,0.08023307252137507,0.08023307252137507,0.003,1,64,0.2,2,64,6,10,0.03
213,0.6076370122886839,0.7256944444444444,0.7312898089171974,0.8035429936305732,0.6999007936507936,0.7070063694267515,0.7509952229299363,1.86,2.6875,2.6875,0.16292633441875004,0.16292633441875004,0.005,4,64,0.1,2,32,5,10,0.07
101,0.6538415267353966,0.6527777777777778,0.6389331210191083,0.7788614649681529,0.6294642857142857,0.6202229299363057,0.7374601910828026,2.0262,3.1875,3.0,0.311023523118,0.311017656412,0.008,2,16,0.2,8,256,6,10,0.14
299,0.603604904715977,0.6721230158730159,0.6614251592356688,0.6781449044585988,0.6617063492063492,0.6361464968152867,0.6500796178343949,2.3878,3.53125,3.53125,0.09691006068630192,0.09691006068630192,0.0001,4,64,0.2,4,64,7,10,0.03
198,0.4787866615113758,0.8283730158730159,0.8266321656050956,1.0,0.8313492063492064,0.8218550955414012,0.9932324840764332,2.7186,2.75,2.75,0.16618702695000004,0.16618702695000004,0.000251,3,64,0.1,4,32,5,10,0.07
249,0.34963931710947127,0.9107142857142857,0.9092356687898089,0.9988057324840764,0.8720238095238095,0.8726114649681529,0.9544187898089171,3.2448,3.25,3.25,0.08990782469596881,0.08990782469596881,0.008,3,128,0.05,8,128,6,10,0.03
86,0.5761942522866386,0.7256944444444444,0.705015923566879,0.9755175159235668,0.7633928571428571,0.6660031847133758,0.8600716560509554,2.8526,2.875,2.875,0.2906760024,0.2906760024,0.001585,3,16,0.05,8,64,5,10,0.14
297,0.4724725614937525,0.8239087301587301,0.8128980891719745,0.9323248407643312,0.8134920634920635,0.7888136942675159,0.8937101910828026,2.7848,3.125,3.125,0.136854412109375,0.136854412109375,0.01,3,16,0.05,8,128,6,10,0.05
70,0.3619774934791383,0.8938492063492064,0.9014729299363057,1.0,0.8938492063492064,0.9012738853503185,0.9996019108280255,2.2574,2.25,2.25,0.10404148437499999,0.10404148437499999,0.000251,2,128,0.05,2,128,5,10,0.05
290,0.5151747195493608,0.8035714285714286,0.7816480891719745,0.8359872611464968,0.7941468253968254,0.7699044585987261,0.8194665605095541,2.8708,3.40625,3.40625,0.09372679571758319,0.09372679571758319,0.000398,2,128,0.2,2,32,7,10,0.03
158,0.6610599519714476,0.6512896825396826,0.6271894904458599,0.63953025477707,0.6299603174603174,0.6013136942675159,0.611265923566879,2.0606,3.296875,3.296875,0.09108483019548241,0.09108483019548241,0.0001,4,16,0.2,8,128,7,10,0.03
215,0.6243494460507045,0.6830357142857143,0.677547770700637,0.7838375796178344,0.6413690476190477,0.6421178343949044,0.6942675159235668,2.5604,3.46875,3.46875,0.25699174999999996,0.25699174999999996,0.003,3,64,0.1,8,256,7,10,0.1
124,0.38613435200282503,0.8759920634920635,0.8664410828025477,1.0,0.8759920634920635,0.8664410828025477,1.0,2.8868,2.875,2.875,0.12799337695312496,0.12799337695312496,0.001585,4,64,0.05,4,128,6,10,0.05
281,0.6607778469721476,0.6195436507936508,0.6064888535031847,0.6626194267515924,0.6195436507936508,0.6064888535031847,0.6638136942675159,1.801,3.1875,3.1875,0.24783846874999993,0.24783846874999993,0.001585,3,64,0.2,2,256,6,10,0.1
299,0.5692378504881783,0.7271825396825397,0.6952627388535032,0.8007563694267515,0.7266865079365079,0.6908837579617835,0.8055334394904459,2.6732,3.375,3.375,0.19483144392680507,0.19483144392680507,0.000631,1,64,0.2,8,256,7,10,0.07
214,0.49454914813949946,0.7946428571428571,0.7985668789808917,0.986265923566879,0.7906746031746031,0.7866242038216561,0.9703423566878981,2.316,2.3125,2.3125,0.19269437499999997,0.19269437499999997,0.008,1,64,0.05,8,64,5,10,0.1
93,0.45556753779214526,0.8338293650793651,0.8304140127388535,0.9998009554140127,0.8338293650793651,0.8234474522292994,0.990047770700637,2.8086,2.8125,2.8125,0.16894482941875,0.16894482941875,0.000251,4,128,0.1,4,128,5,10,0.07
259,0.1839652738814789,0.9538690476190477,0.9382961783439491,1.0,0.9543650793650794,0.9375,0.9990047770700637,2.1676,2.1875,2.1875,0.062333515893750024,0.062333515893750024,0.0001,3,64,0.05,8,64,5,10,0.03
146,0.598517717350097,0.7137896825396826,0.708797770700637,0.7490047770700637,0.6815476190476191,0.6749601910828026,0.7083996815286624,1.5136,2.875,2.875,0.12704437695312498,0.12704437695312498,0.005,4,16,0.2,2,128,6,10,0.05
297,0.5723899006843567,0.7103174603174603,0.7211385350318471,0.7472133757961783,0.7108134920634921,0.7207404458598726,0.7440286624203821,1.3956,3.0625,3.0625,0.08550816661875005,0.08550816661875005,0.0001,1,32,0.05,2,128,6,10,0.03
1,0.8920370103820922,0.5342261904761905,0.5501592356687898,0.5501592356687898,0.5342261904761905,0.5501592356687898,0.5501592356687898,0.0,3.53125,3.53125,0.2618665687499999,0.2618665687499999,0.008,2,128,0.2,2,256,7,10,0.1
257,0.6769894531794957,0.5818452380952381,0.5867834394904459,0.6146496815286624,0.5753968253968254,0.5784235668789809,0.6058917197452229,1.6208,3.640625,3.640625,0.26641256093749993,0.26641256093749993,0.0001,2,32,0.2,8,64,7,10,0.1
163,0.6040710764271873,0.6909722222222222,0.6242038216560509,0.8121019108280255,0.7633928571428571,0.585390127388535,0.7179538216560509,3.0536,3.4375,3.328125,0.325524019926,0.324955756759,0.001,4,32,0.1,8,256,7,10,0.14
10,0.6920503832045055,0.5282738095238095,0.540406050955414,0.5471735668789809,0.5391865079365079,0.5143312101910829,0.5143312101910829,1.2776,3.5625,3.5625,0.32983982397744005,0.32983982397744005,0.01,1,64,0.2,2,32,7,10,0.14
93,0.4347844620545705,0.847718253968254,0.8479299363057324,1.0,0.847718253968254,0.8479299363057324,1.0,2.4454,2.4375,2.4375,0.14634665976875005,0.14634665976875005,0.000631,4,16,0.1,4,64,5,10,0.07
297,0.49079207106242106,0.7916666666666666,0.7685111464968153,0.8304140127388535,0.785218253968254,0.7625398089171974,0.8218550955414012,1.8172,2.875,2.875,0.12633681591796875,0.12633681591796875,0.000158,2,32,0.1,2,32,6,10,0.05
127,0.3286291994745769,0.9107142857142857,0.9116242038216561,1.0,0.9107142857142857,0.9110270700636943,0.9994028662420382,3.344,3.3125,3.3125,0.09165825298387509,0.09165825298387509,0.000398,3,128,0.1,4,128,6,10,0.03
267,0.631992204794808,0.6507936507936508,0.6496815286624203,0.7171576433121019,0.6478174603174603,0.642515923566879,0.7062101910828026,2.0798,3.203125,3.203125,0.24286471093749995,0.24286471093749995,0.000251,1,64,0.1,2,256,7,10,0.1
293,0.6313537406542945,0.6691468253968254,0.6490843949044586,0.789609872611465,0.6641865079365079,0.6383359872611465,0.7836385350318471,2.5648,3.3125,3.3125,0.313503565662,0.313503565662,0.0001,4,128,0.05,2,64,6,10,0.14
80,0.38681719960674404,0.8844246031746031,0.896297770700637,1.0,0.8844246031746031,0.896297770700637,1.0,2.3074,2.3125,2.3125,0.10546056640624996,0.10546056640624996,0.008,3,16,0.1,2,32,5,10,0.05
288,0.5907766554090712,0.716765873015873,0.6942675159235668,0.8089171974522293,0.7197420634920635,0.6898885350318471,0.8061305732484076,2.5718,3.34375,3.34375,0.25178936874999996,0.25178936874999996,0.000398,1,16,0.05,8,64,7,10,0.1
108,0.6217191072683486,0.6493055555555556,0.6522691082802548,0.7147691082802548,0.6349206349206349,0.6423168789808917,0.6970541401273885,2.1572,2.875,2.875,0.2275693749999999,0.2275693749999999,0.001585,3,64,0.2,2,256,6,10,0.1
58,0.6468406262851897,0.6254960317460317,0.6015127388535032,0.6393312101910829,0.6180555555555556,0.589968152866242,0.6110668789808917,1.2864,3.703125,3.703125,0.20933411012275677,0.20933411012275677,0.003,1,64,0.05,4,64,7,10,0.07
145,0.4717939344663469,0.7931547619047619,0.7983678343949044,0.8525079617834395,0.8020833333333334,0.7876194267515924,0.8377786624203821,2.418,3.125,3.125,0.08636284784596882,0.08636284784596882,0.000631,1,64,0.2,4,32,6,10,0.03
46,0.498050850535196,0.8521825396825397,0.8258359872611465,1.0,0.8546626984126984,0.8182722929936306,0.9888535031847133,2.7406,2.75,2.75,0.1671063625,0.1671063625,0.000398,4,32,0.1,4,64,5,10,0.07
293,0.438443081246482,0.8100198412698413,0.8007563694267515,0.8682324840764332,0.8070436507936508,0.7945859872611465,0.86046974522293,1.9156,2.25,2.25,0.10370156249999996,0.10370156249999996,0.000398,1,32,0.1,2,32,5,10,0.05
300,0.6097931511818416,0.7088293650793651,0.695859872611465,0.8550955414012739,0.7088293650793651,0.695859872611465,0.8550955414012739,3.0168,3.3125,3.3125,0.25513346875,0.25513346875,0.000251,3,32,0.2,4,128,6,10,0.1
278,0.6530857133486915,0.6160714285714286,0.6144506369426752,0.6554538216560509,0.6036706349206349,0.5965366242038217,0.6275875796178344,1.5178,2.9375,2.9375,0.293478957072,0.293478957072,0.005,4,16,0.2,2,64,6,10,0.14
3,0.6894835479675777,0.5873015873015873,0.57921974522293,0.57921974522293,0.5873015873015873,0.57921974522293,0.57921974522293,0.0,3.59375,3.59375,0.15363506865234378,0.15363506865234378,0.008,2,128,0.1,8,64,7,10,0.05
219,0.6635560298722888,0.6299603174603174,0.6299761146496815,0.6888933121019108,0.5649801587301587,0.5746417197452229,0.5973328025477707,1.8724,3.5,3.5,0.2605575,0.2605575,0.01,4,32,0.1,8,128,7,10,0.1
299,0.5533094652115352,0.7584325396825397,0.7523885350318471,0.9800955414012739,0.7559523809523809,0.7486066878980892,0.9659633757961783,2.0474,2.125,2.125,0.2387242256,0.2387242256,0.000398,3,16,0.2,2,128,5,10,0.14
173,0.4273239778620856,0.8442460317460317,0.830015923566879,0.9777070063694268,0.8531746031746031,0.8011544585987261,0.9382961783439491,3.7416,3.84375,3.84375,0.16315752031249997,0.16315752031249997,0.001,3,128,0.1,8,64,7,10,0.05
284,0.6503898955526806,0.652281746031746,0.6297770700636943,0.678343949044586,0.6473214285714286,0.6192277070063694,0.6624203821656051,1.0424,3.15625,3.15625,0.24190711874999993,0.24190711874999993,0.008,3,128,0.1,4,128,7,10,0.1
247,0.49014876948462593,0.8154761904761905,0.8178742038216561,1.0,0.8154761904761905,0.8178742038216561,1.0,2.2418,2.25,2.25,0.18948999999999994,0.18948999999999994,0.000158,2,64,0.2,4,128,5,10,0.1
293,0.6376547605272324,0.6875,0.647890127388535,0.674562101910828,0.6612103174603174,0.6253980891719745,0.6345541401273885,1.3772,3.703125,3.703125,0.1581616909790039,0.1581616909790039,0.005,3,64,0.1,4,128,7,10,0.05
277,0.49680632305523703,0.8125,0.7890127388535032,0.9695461783439491,0.8159722222222222,0.7840366242038217,0.9633757961783439,3.4732,3.46875,3.46875,0.19899274456160754,0.19899274456160754,0.001585,3,16,0.1,8,32,7,10,0.07
277,0.6414671474032931,0.6378968253968254,0.6361464968152867,0.6572452229299363,0.6374007936507936,0.634952229299363,0.6528662420382165,0.7848,3.484375,3.296875,0.32226031674186,0.32113905028886003,0.000251,1,128,0.2,4,64,7,10,0.14
298,0.6370967068369426,0.6686507936507936,0.6385350318471338,0.7193471337579618,0.6572420634920635,0.6319665605095541,0.6960589171974523,1.8168,3.25,3.25,0.30675009560496,0.30675009560496,0.0001,4,16,0.05,8,256,7,10,0.14
